epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.6942197671736046,0.49593449381584975,0.6940995302551926,0.4985305904354796,0.001
2,0.6938412685324389,0.49622079706825467,0.693188600972665,0.5014694095645205,0.001
3,0.6939343973905517,0.5017178195144297,0.6932756999040268,0.5014694095645205,0.001
4,0.6938694648058984,0.5002290426019239,0.6933904729391399,0.4985305904354796,0.001
5,0.6940489505279845,0.5025767292716445,0.6942617374246145,0.5014694095645205,0.001
6,0.6942451138098853,0.5033211177278973,0.6938332922949754,0.4985305904354796,0.001
7,0.6943058110790629,0.49055199267063676,0.6964240887570821,0.5014694095645205,0.001
8,0.6943500528792095,0.4961635364177737,0.6936285656911946,0.5014694095645205,0.001
9,0.6941547793529473,0.4993128721942281,0.6937310172375785,0.5014694095645205,0.001
10,0.6949490714499124,0.4933577645442052,0.694159869153392,0.4985305904354796,0.001
11,0.6945900216978512,0.4990265689418232,0.6939755146623836,0.5014694095645205,0.001
12,0.6939551218682017,0.4987975263398992,0.6931966375355538,0.4985305904354796,0.001
13,0.6946697860096116,0.49261337608795236,0.6937745019709908,0.4985305904354796,0.001
14,0.6940822194761712,0.5069857993586807,0.6940195801549184,0.5014694095645205,0.001
15,0.6943686450505224,0.4985112230874943,0.6932784642505672,0.5014694095645205,0.001
16,0.6943310542058574,0.4993128721942281,0.6931690597419524,0.4985305904354796,0.001
17,0.6948231197091564,0.4951328447091159,0.693264363269388,0.5014694095645205,0.001
18,0.6944832596492724,0.5014315162620248,0.6935549390338304,0.5014694095645205,0.001
19,0.6945644559742277,0.4981676591846083,0.711566103960211,0.4985305904354796,0.001
20,0.6947420146341887,0.4990838295923042,0.6937257916634968,0.5014694095645205,0.001
21,0.6937100517056265,0.4966216216216216,0.6932827602597185,0.4985305904354796,0.0005
22,0.6934404008114388,0.49919835089326614,0.6933662200751166,0.5014694095645205,0.0005
23,0.6938534363715189,0.49650710032065964,0.6935353693304742,0.5014694095645205,0.0005
24,0.6939238294023906,0.494617498854787,0.693261239575155,0.5014694095645205,0.0005
25,0.6937896559066965,0.5020613834173157,0.6932091510872328,0.5014694095645205,0.0005
26,0.6937639232736851,0.5028630325240495,0.6931771591102698,0.5014694095645205,0.0005
27,0.6933707282786734,0.5054397617956939,0.6931435517407406,0.5014694095645205,0.0005
28,0.6940383350854612,0.49318598259276225,0.6931846702509693,0.5014694095645205,0.0005
29,0.6937085509409447,0.5022904260192396,0.6932813520741087,0.5014694095645205,0.0005
30,0.6937603699303635,0.5018323408153916,0.6940897339300584,0.4985305904354796,0.0005
31,0.6938596054112971,0.5022904260192396,0.6931709804032978,0.5014694095645205,0.0005
32,0.6936909524443168,0.49954191479615206,0.693219474379213,0.5014694095645205,0.0005
33,0.6938651365202826,0.4957627118644068,0.6931518674724853,0.4985305904354796,0.0005
34,0.6938599432983695,0.5006871278057718,0.693505959605712,0.4985305904354796,0.0005
35,0.6939019396716829,0.494560238204306,0.6931517877076802,0.4985305904354796,0.0005
36,0.6937169510456492,0.5005153458543289,0.6934998821454222,0.5014694095645205,0.0005
37,0.6935144199235036,0.5045808520384791,0.6964377430935706,0.4985305904354796,0.0005
38,0.6938945743341922,0.49770957398076043,0.6934061883574274,0.5014694095645205,0.0005
39,0.6937748963167729,0.4994846541456711,0.6932656509080674,0.5014694095645205,0.0005
40,0.6941727291975227,0.4912963811268896,0.6931607061103803,0.5014694095645205,0.0005
41,0.6933998805745938,0.494560238204306,0.6931456974601796,0.5014694095645205,0.00025
42,0.6934385004253274,0.4917544663307375,0.6931641052949565,0.5014694095645205,0.00025
43,0.6934580345848422,0.494560238204306,0.6931434287414683,0.5014694095645205,0.00025
44,0.6934201271229253,0.4990838295923042,0.6932546160866352,0.4985305904354796,0.00025
45,0.6934684567696121,0.5021759047182776,0.6933475711464786,0.4985305904354796,0.00025
46,0.693363097764678,0.5037219422812643,0.6934698742722051,0.5014694095645205,0.00025
47,0.6936459642891702,0.4961062757672927,0.6931431218324866,0.5014694095645205,0.00025
48,0.6932988977738056,0.5022904260192396,0.6951512172678846,0.5014694095645205,0.00025
49,0.6937218613434537,0.49622079706825467,0.6931428887007741,0.5014694095645205,0.00025
50,0.6934512612255025,0.4984539624370133,0.693162888344233,0.4985305904354796,0.00025
51,0.6934708051052434,0.4969651855245076,0.6931443265055769,0.5014694095645205,0.00025
52,0.6935207458247955,0.4978813559322034,0.6932525458165169,0.5014694095645205,0.00025
53,0.6934896236813729,0.4966216216216216,0.6933257732676721,0.4985305904354796,0.00025
54,0.6933200607537896,0.5026912505726066,0.6937952740702628,0.4985305904354796,0.00025
55,0.6934709302121982,0.5009161704076959,0.6932053850546197,0.5014694095645205,0.00025
56,0.6933183763969726,0.5020613834173157,0.693157346513607,0.4985305904354796,0.00025
